Num_sorteado;Cor;Data;Saldo_atual;Meta;Total_apostado_branca;Total_apostado_vermelha;Total_apostado_preta;Sugestão_IA
13;2;2023-10-09 00:55:44;972.4;1100;9.2;18.4;0;[[0.4823602  0.45794943]];
5;1;2023-10-09 00:56:14;984.3;1100;8.3;0;16.6;[[0.45501947 0.5309617 ]];
5;1;2023-10-09 00:56:44;952.5;1100;10.6;21.2;0;[[0.577543   0.40571097]];
8;2;2023-10-09 00:57:14;939.0;1100;13.5;0;0;[[0.43372127 0.57574254]];
6;1;2023-10-09 00:57:44;924.3;1100;14.7;0;0;[[0.83278966 0.15796675]];
9;2;2023-10-09 00:58:14;908.3;1100;16.0;0;0;[[0.53847295 0.4736965 ]];
6;1;2023-10-09 00:58:44;855.8;1100;17.5;35.0;0;[[0.9069396 0.0854213]];
14;2;2023-10-09 00:59:14;788.9;1100;22.3;44.6;0;[[0.7738862  0.22262682]];
6;1;2023-10-09 00:59:44;817.5;1100;20.2;0;40.4;[[0.09069034 0.9085578 ]];
1;1;2023-10-09 01:00:14;740.4;1100;25.7;0;51.4;[[0.07849838 0.923627  ]];
13;2;2023-10-09 01:00:44;773.0;1100;23.4;46.8;0;[[0.91074085 0.09015481]];
14;2;2023-10-09 01:01:14;683.6;1100;29.8;59.6;0;[[0.9177803  0.08243315]];
1;1;2023-10-09 01:01:44;721.5;1100;27.1;0;54.2;[[0.3125622  0.69868004]];
5;1;2023-10-09 01:02:14;618.0;1100;34.5;69.0;0;[[0.535248  0.4804964]];
10;2;2023-10-09 01:02:44;574.1;1100;43.9;0;0;[[0.41373432 0.62872237]];
2;1;2023-10-09 01:03:14;526.2;1100;47.9;0;0;[[0.8722364  0.11759274]];
11;2;2023-10-09 01:03:44;474.0;1100;52.2;0;0;[[0.7174818 0.2761769]];